Year Month Day High Low
2020 2 1 9.5 0.9
2020 2 2 9.6 0.9
2020 2 3 9.6 1
2020 2 4 9.7 1.1
2020 2 5 9.8 1.2
2020 2 6 9.9 1.2
2020 2 7 10 1.3
2020 2 8 10.1 1.4
2020 2 9 10.2 1.5
2020 2 10 10.3 1.5
2020 2 11 10.4 1.6
2020 2 12 10.4 1.7
2020 2 13 10.5 1.7
2020 2 14 10.5 1.7
2020 2 15 10.5 1.8
2020 2 16 10.5 1.8
2020 2 17 10.5 1.8
2020 2 18 10.6 1.9
2020 2 19 10.6 1.9
2020 2 20 10.6 1.9
2020 2 21 10.6 2
2020 2 22 10.7 2
2020 2 23 10.8 2.1
2020 2 24 10.9 2.2
2020 2 25 11 2.3
2020 2 26 11.1 2.3
2020 2 27 11.2 2.4
2020 2 28 11.3 2.5
2020 2 29 11.4 2.6
2020 3 1 11.5 2.6
2020 3 2 11.7 2.7
2020 3 3 11.8 2.8
2020 3 4 12 2.9
2020 3 5 12.1 3
2020 3 6 12.3 3.1
2020 3 7 12.5 3.2
2020 3 8 12.6 3.4
2020 3 9 12.8 3.5
2020 3 10 12.9 3.6
2020 3 11 13.1 3.7
2020 3 12 13.2 3.9
2020 3 13 13.4 4
2020 3 14 13.5 4.2
2020 3 15 13.7 4.3
2020 3 16 13.8 4.4
2020 3 17 13.9 4.6
2020 3 18 14 4.7
2020 3 19 14.1 4.8
2020 3 20 14.2 5
2020 3 21 14.2 5.1
2020 3 22 14.3 5.2
2020 3 23 14.4 5.3
2020 3 24 14.5 5.4
2020 3 25 14.6 5.5
2020 3 26 14.8 5.6
2020 3 27 14.9 5.8
2020 3 28 15.1 5.9
2020 3 29 15.3 6.1
2020 3 30 15.5 6.2
2020 3 31 15.7 6.4
